Technology,Year,Flowcell cost,Reads output,Gb output,Cost per M reads,Cost per Gb, Link
NextSeq™ 1000/2000 P1 XLEAP-SBS™ Reagent Kit (600 Cycles),2024,1591,100M,60,15.9,26.5,https://emea.illumina.com/products/by-type/sequencing-kits/cluster-gen-sequencing-reagents/nextseq-1000-2000-reagents.html#tabs-b15481120d-item-473efe9d42-order
NextSeq™ 1000/2000 P1 XLEAP-SBS™ Reagent Kit (300 Cycles),2024,1046,100M,30,10.5,34.9,https://emea.illumina.com/products/by-type/sequencing-kits/cluster-gen-sequencing-reagents/nextseq-1000-2000-reagents.html#tabs-b15481120d-item-473efe9d42-order
NextSeq™ 1000/2000 P2 XLEAP-SBS™ Reagent Kit (600 Cycles),2024,3012,400M,120,12.5,25.1,https://emea.illumina.com/products/by-type/sequencing-kits/cluster-gen-sequencing-reagents/nextseq-1000-2000-reagents.html#tabs-b15481120d-item-473efe9d42-order
NextSeq™ 1000/2000 P2 XLEAP-SBS™ Reagent Kit (100 Cycles),2024,1152,400M,40,2.9,28.8,https://emea.illumina.com/products/by-type/sequencing-kits/cluster-gen-sequencing-reagents/nextseq-1000-2000-reagents.html#tabs-b15481120d-item-473efe9d42-order
NextSeq™ 2000 P3 XLEAP-SBS™ Reagent Kit (300 Cycles),2024,4576,1.2B,360,3.8,12.7,https://emea.illumina.com/products/by-type/sequencing-kits/cluster-gen-sequencing-reagents/nextseq-1000-2000-reagents.html#tabs-b15481120d-item-473efe9d42-order
NextSeq™ 2000 P3 XLEAP-SBS™ Reagent Kit (100 Cycles),2024,2479,1.2B,120,2.1,20.7,https://emea.illumina.com/products/by-type/sequencing-kits/cluster-gen-sequencing-reagents/nextseq-1000-2000-reagents.html#tabs-b15481120d-item-473efe9d42-order
NovaSeq™ X Series 25B Reagent Kit (300 Cycles),2024,16480,25B,7500,0.66,2.2,https://emea.illumina.com/products/by-type/sequencing-kits/cluster-gen-sequencing-reagents/novaseq-x-series-reagent-kits.html#tabs-80eb4f32eb-item-f8cd845d52-order
NovaSeq™ X Series 10B Reagent Kit (300 Cycles),2024,9888,10B,3000,1,3.3,https://emea.illumina.com/products/by-type/sequencing-kits/cluster-gen-sequencing-reagents/novaseq-x-series-reagent-kits.html#tabs-80eb4f32eb-item-f8cd845d52-order
NovaSeq™ X Series 1.5B Reagent Kit (300 Cycles),2024,2678,1.5B,450,1.8,6,https://emea.illumina.com/products/by-type/sequencing-kits/cluster-gen-sequencing-reagents/novaseq-x-series-reagent-kits.html#tabs-80eb4f32eb-item-f8cd845d52-order
NovaSeq™ X Series 1.5B Reagent Kit (100 Cycles),2024,1957,1.5B,150,1.3,13,https://emea.illumina.com/products/by-type/sequencing-kits/cluster-gen-sequencing-reagents/novaseq-x-series-reagent-kits.html#tabs-80eb4f32eb-item-f8cd845d52-order
